onsite              nnhop               ospair              nnpair              
1.13224             1.93512             0.0472352           0.117959            
1.13202             1.93445             0.0471235           0.117548            
1.13191             1.93408             0.0470204           0.117153            
1.13184             1.93383             0.0469184           0.116768            
1.1318              1.93365             0.0468177           0.116389            
1.13185             1.93371             0.0467223           0.116027            
1.13217             1.93448             0.0466394           0.115703            
1.13214             1.93433             0.0465419           0.115332            
1.12498             1.91492             0.0460909           0.113951            
1.1237              1.91141             0.0459307           0.113412            
1.12364             1.9112              0.0458352           0.113053            
1.12344             1.91062             0.0457321           0.112676            
1.12373             1.91137             0.045654            0.112375            
1.12374             1.91135             0.0455628           0.112037            
1.12385             1.91161             0.0454779           0.111709            
1.12393             1.91177             0.0453908           0.111377            
1.12396             1.9118              0.0453016           0.111045            
1.12395             1.91173             0.0452102           0.110705            
1.12402             1.91188             0.0451252           0.110381            
1.12427             1.91251             0.0450498           0.110078            
1.12457             1.91326             0.0449748           0.109788            
1.1238              1.91115             0.0448483           0.109355            
1.12373             1.91091             0.0447566           0.10902             
1.12289             1.90861             0.0446266           0.108581            
1.12296             1.90874             0.0445426           0.108265            
1.12341             1.90991             0.0444782           0.108007            
1.12333             1.90965             0.0443872           0.107675            
1.12274             1.90801             0.0442735           0.107281            
1.12265             1.90772             0.044182            0.106955            
1.1225              1.90727             0.0440916           0.106623            
1.12256             1.9074              0.0440091           0.106317            
1.12258             1.9074              0.0439268           0.106011            
1.1227              1.90768             0.0438476           0.105718            
1.12265             1.90751             0.0437614           0.105403            
1.12245             1.90694             0.0436677           0.105071            
1.12297             1.90828             0.0436096           0.104832            
1.12315             1.90871             0.0435362           0.104551            
1.12413             1.91129             0.0434999           0.104378            
1.12426             1.91161             0.0434243           0.104097            
1.12425             1.91151             0.0433409           0.103798            
1.12388             1.91047             0.0432413           0.103453            
1.12374             1.91005             0.0431537           0.10314             
1.12382             1.91021             0.0430767           0.102857            
1.12508             1.91355             0.0430554           0.102727            
1.12515             1.91368             0.0429767           0.102438            
1.14594             1.96969             0.0438559           0.104782            
1.14594             1.96954             0.0437703           0.104466            
1.14548             1.96814             0.0436645           0.104098            
1.14555             1.96818             0.043581            0.103796            
1.14562             1.96821             0.0434988           0.103496            
1.14567             1.9682              0.0434169           0.103195            
1.14573             1.96821             0.0433342           0.102895            
1.14584             1.96838             0.0432549           0.102604            
1.14572             1.9679              0.0431662           0.102292            
1.14572             1.96775             0.0430818           0.101991            
1.14582             1.96787             0.0430029           0.101704            
1.14585             1.9678              0.0429219           0.101415            
1.14593             1.96788             0.0428426           0.101129            
1.14606             1.96808             0.0427663           0.10085             
1.1461              1.96805             0.0426851           0.100563            
1.14621             1.96821             0.0426082           0.100287            
1.14617             1.96793             0.0425247           0.0999897           
1.14614             1.96771             0.0424436           0.099699            
1.14612             1.96753             0.0423642           0.0994148           
1.14614             1.96741             0.0422855           0.0991313           
1.14645             1.96811             0.0422167           0.0988783           
1.14656             1.96827             0.0421418           0.0986078           
1.14789             1.97174             0.0421143           0.0984716           
