13
e_L                 onsite              nnhop               ospair              
(-1.52,0)           (-0.0233293,0)      (-0.000705844,0)    (0.0158696,0)       
(-1.4,0)            (-0.00369885,0)     (-0.000731955,0)    (0.0115131,0)       
(-1.64,0)           (-0.00880073,0)     (-0.000661515,0)    (0.0117217,0)       
(-1.8,0)            (0.015459,0)        (-0.000599938,0)    (0.00497603,0)      
(-1.32,0)           (-0.0280238,0)      (-0.000769321,0)    (0.0179231,0)       
(-1.36,0)           (-0.00854171,0)     (-0.000746731,0)    (0.0128957,0)       
(-1.16,0)           (0.00140047,0)      (-0.000802355,0)    (0.0113045,0)       
(-1.52,0)           (-0.0233345,0)      (-0.000705764,0)    (0.0158697,0)       
(-1.44,0)           (0.00115173,0)      (-0.000717298,0)    (0.0101303,0)       
(-1.44,0)           (-0.06692,0)        (-0.00109199,0)     (0.031988,0)        
(-1.56,0)           (-0.0380166,0)      (-0.000701313,0)    (0.0193469,0)       
(-1.28,0)           (0.0208251,0)       (-0.000755674,0)    (0.00594134,0)      
(-1.44,0)           (0.00114402,0)      (-0.000717179,0)    (0.0101304,0)       
(-1.56,0)           (-0.0868354,0)      (-0.000727025,0)    (0.0314965,0)       
(-1.96,0)           (-0.0335005,0)      (-0.000577069,0)    (0.0164547,0)       
(-1.28,0)           (-0.0475213,0)      (-0.000791672,0)    (0.0229508,0)       
(-1.32,0)           (0.0110261,0)       (-0.000748671,0)    (0.00820352,0)      
(-1.84,0)           (-0.0672896,0)      (-0.00097026,0)     (0.0303109,0)       
(-1.12,0)           (-0.00832043,0)     (-0.000819763,0)    (0.013902,0)        
(-1.56,0)           (0.00104108,0)      (-0.000680783,0)    (0.00962713,0)      
(-1.4,0)            (0.0255925,0)       (-0.000716528,0)    (0.00422329,0)      
(-1.52,0)           (-0.0477375,0)      (-0.00071872,0)     (0.0219444,0)       
(-1.6,0)            (-0.0819874,0)      (-0.000712328,0)    (0.0301138,0)       
(-1.16,0)           (-0.0132465,0)      (-0.000810049,0)    (0.0149494,0)       
(-1.6,0)            (-0.033184,0)       (-0.000686377,0)    (0.0179644,0)       
(-1.44,0)           (-0.0720701,0)      (-0.000755966,0)    (0.0283546,0)       
(-1.56,0)           (-0.0380166,0)      (-0.000701313,0)    (0.0193469,0)       
(-1.76,0)           (-0.0137868,0)      (-0.00062767,0)     (0.0124334,0)       
(-1.56,0)           (0.0550024,0)       (-0.000990977,0)    (0.00111106,0)      
(-1.4,0)            (-0.0818065,0)      (-0.000773135,0)    (0.0309524,0)       
(-1.56,0)           (-0.0429049,0)      (-0.000703784,0)    (0.0205619,0)       
(-1.32,0)           (0.0256782,0)       (-0.000741057,0)    (0.00455853,0)      
(-1.24,0)           (0.0403827,0)       (-0.000757455,0)    (0.00124933,0)      
(-1.52,0)           (0.0108349,0)       (-0.000687706,0)    (0.00736504,0)      
(-1.32,0)           (-0.013382,0)       (-0.000761547,0)    (0.0142783,0)       
(-1.48,0)           (-0.00377432,0)     (-0.000707585,0)    (0.0111776,0)       
(-1.12,0)           (-0.0229674,0)      (-0.000827456,0)    (0.0175469,0)       
(-1.52,0)           (-0.0428646,0)      (-0.000716009,0)    (0.0207296,0)       
(-1.24,0)           (0.00134041,0)      (-0.000778224,0)    (0.0109688,0)       
(-1.24,0)           (-0.052774,0)       (-0.00113414,0)     (0.0291872,0)       
(-1.48,0)           (-0.0135304,0)      (-0.000712847,0)    (0.0136074,0)       
(-1.68,0)           (-0.0674185,0)      (-0.000680224,0)    (0.0261335,0)       
(-1.6,0)            (-0.0185319,0)      (-0.000678763,0)    (0.0143194,0)       
(-1.08,0)           (-0.066873,0)       (-0.000862683,0)    (0.0286494,0)       
(-1.32,0)           (0.0207925,0)       (-0.000743569,0)    (0.00577355,0)      
(-1.56,0)           (-0.013611,0)       (-0.000688397,0)    (0.0132721,0)       
(-1.68,0)           (-0.0771772,0)      (-0.000685446,0)    (0.0285633,0)       
(-1.48,0)           (-0.0379411,0)      (-0.000725683,0)    (0.0196823,0)       
(-1.44,0)           (0.00114402,0)      (-0.000717179,0)    (0.0101304,0)       
(-1.6,0)            (-0.0136462,0)      (-0.000676251,0)    (0.0131044,0)       
(-1.72,0)           (-0.00399561,0)     (-0.000634554,0)    (0.0101713,0)       
(-1.76,0)           (-0.033317,0)       (-0.000637915,0)    (0.0172933,0)       
(-1.52,0)           (-0.0184487,0)      (-0.000703253,0)    (0.0146547,0)       
(-1.24,0)           (-0.0621177,0)      (-0.000811749,0)    (0.0267632,0)       
(-1.16,0)           (0.0160474,0)       (-0.000794662,0)    (0.00765957,0)      
